Date,Close,Prophet,Arima,Lstm,Gru,Ensemble
2023-01-03,33.509998,39.534937972997845,33.12023829989766,32.363716,33.670147,33.62683808431231
2023-01-04,34.139999,39.569187716859,33.12023543667561,32.447598,33.77314,33.70831312219918
2023-01-05,34.07,39.56638991926741,33.12023547093404,32.521553,33.86939,33.77986641144837
2023-01-06,34.41,39.603334352409135,33.120235470524136,32.574635,33.94214,33.83617377299804
2023-01-09,33.889999,39.62690354252231,33.12023547052904,32.640133,34.024044,33.90020465392201
2023-01-10,34.119999,39.65821378142207,33.12023547052898,32.68451,34.211075,34.00506270673246
2023-01-11,34.380001,39.67616896628162,33.12023547052898,32.709545,34.259663,34.03819604652729
2023-01-12,34.470001,39.72618868710485,33.12023547052898,32.737865,34.357758,34.09790767336703
2023-01-13,35.23,39.7418485972274,33.12023547052898,32.766678,34.468105,34.16052403695261
2023-01-17,34.52,39.718893129318566,33.12023547052898,32.792473,34.58875,34.22347625122276
2023-01-18,33.720001,39.73455891082036,33.12023547052898,32.740032,34.419468,34.127659724755816
2023-01-19,33.23,39.7362059002429,33.12023547052898,32.690586,34.2457,34.02973675494439
2023-01-20,33.849998,39.74544727479771,33.12023547052898,32.630493,33.924744,33.861109910183885
2023-01-23,34.32,39.74169146720015,33.12023547052898,32.562824,33.630783,33.70090050112597
2023-01-24,34.57,39.77085806921638,33.12023547052898,32.48263,33.460583,33.59538490812143
2023-01-25,34.869999,39.76700595031517,33.12023547052898,32.450207,33.589996,33.64210991104001
2023-01-26,35.34,39.72633397339333,33.12023547052898,32.491127,33.93909,33.813777498352344
2023-01-27,35.450001,39.7264929787745,33.12023547052898,32.581318,34.272728,34.00028968415072
2023-01-30,35.299999,39.71520636419637,33.12023547052898,32.694748,34.553623,34.170426895713966
2023-01-31,35.48,39.714390578047485,33.12023547052898,32.826843,34.79282,34.329367651368734
2023-02-01,35.919998,39.703689182879664,33.12023547052898,32.978,34.97855,34.47016596558308
2023-02-02,36.130001,39.72918243095995,33.12023547052898,33.083855,35.03321,34.53703497250649
2023-02-03,36.43,39.72501088290824,33.12023547052898,33.159447,35.001297,34.55044512530196
2023-02-06,36.369999,39.68737358715226,33.12023547052898,33.229446,34.97983,34.56372526156561
2023-02-07,36.77,39.69383957607011,33.12023547052898,33.31289,35.083546,34.643033167006465
2023-02-08,36.5,39.69197003732442,33.12023547052898,33.410313,35.26497,34.762441778758
2023-02-09,35.720001,39.70344245324187,33.12023547052898,33.471684,35.33147,34.81685983323709
2023-02-10,35.580002,39.70759028584595,33.12023547052898,33.556408,35.486103,34.91975073574823
2023-02-13,35.650002,39.750120016606616,33.12023547052898,33.611618,35.4289,34.91786472431581
2023-02-14,35.619999,39.76474388916896,33.12023547052898,33.634995,35.352787,34.89303825403623
2023-02-15,35.560001,39.747188644536166,33.12023547052898,33.645096,35.372524,34.904384380926246
2023-02-16,35.279999,39.774518736744994,33.12023547052898,33.652897,35.32795,34.889211931255694
2023-02-17,35.349998,39.79377108715827,33.12023547052898,33.672318,35.341515,34.9043227860976
