Date,Close,Prophet,Arima,Lstm,Gru,Ensemble
2023-03-14,464.579987,486.4421861691782,530.1567216391471,473.76212,461.5013,477.7791803301892
2023-03-15,465.429993,486.627443656002,530.1567216391471,470.73343,458.06308,475.758933050176
2023-03-16,472.019989,486.70109617887584,530.1567216391471,468.54413,456.53482,474.5897786457382
2023-03-17,469.5,486.3751171687181,530.1567216391471,466.76233,455.45197,473.581497162234
2023-03-20,476.959991,486.6367517278647,530.1567216391471,466.1365,456.3831,473.7554071765052
2023-03-21,480.100006,486.7976986288795,530.1567216391471,465.6566,456.8353,473.7933092177465
2023-03-22,475.519989,486.8890165765994,530.1567216391471,465.96283,458.60513,474.4864277195028
2023-03-23,469.910004,487.0064032809324,530.1567216391471,467.18665,461.46362,475.8298661600336
2023-03-24,475.98999,487.21692656931145,530.1567216391471,468.02045,462.57147,476.511546350734
2023-03-27,481.899994,487.3188593289595,530.1567216391471,468.4558,462.64328,476.7021076004428
2023-03-28,472.579987,487.0234980551057,530.1567216391471,469.0685,463.2169,476.9989986832556
2023-03-29,466.589996,487.3173671286079,530.1567216391471,470.08063,464.71103,477.8853350229537
2023-03-30,470.059998,487.5114224550343,530.1567216391471,470.77887,465.17648,478.31234425147096
2023-03-31,472.589996,487.63598027464536,530.1567216391471,471.34473,465.23575,478.5468323447318
2023-04-03,494.190002,487.7860190299433,530.1567216391471,471.94696,465.5457,478.8807910667879
2023-04-04,493.25,488.027932836529,530.1567216391471,472.90997,466.8579,479.67828015154106
2023-04-05,509.230011,488.15938766210735,530.1567216391471,474.92404,470.732,481.6045540798909
2023-04-06,512.809998,487.8911593230296,530.1567216391471,477.06714,474.2935,483.3588739601314
2023-04-10,515.179993,488.20935479421325,530.1567216391471,479.80646,478.89825,485.8040933472189
2023-04-11,520.969971,488.4246298959434,530.1567216391471,483.04593,483.68692,488.4389961087372
2023-04-12,521.190002,488.5671286759018,530.1567216391471,486.609,488.22733,491.0766415487258
2023-04-13,526.22998,488.7317919761865,530.1567216391471,490.46695,492.64917,493.7763387964904
2023-04-14,511.790009,488.9851134422763,530.1567216391471,494.21304,496.1828,496.1793509780627
2023-04-17,505.350006,489.1249939093903,530.1567216391471,498.35892,500.15616,498.819458984865
2023-04-18,504.480011,488.8625732332836,530.1567216391471,501.7039,501.80582,500.3429650352136
2023-04-19,486.200012,489.1844411502607,530.1567216391471,504.1278,501.80527,501.2059419369935
2023-04-20,487.459991,489.4018404502932,530.1567216391471,505.7346,500.98657,501.515669003728
2023-04-21,483.820007,489.5455881298521,530.1567216391471,505.82977,497.9965,500.6237499180255
2023-04-24,488.940002,489.71136248272273,530.1567216391471,504.81885,494.39813,499.1896153692828
2023-04-25,491.920013,489.9664349632196,530.1567216391471,503.04904,490.84125,497.5520667120872
2023-04-26,482.950012,490.10949842884753,530.1567216391471,501.1735,488.4432,496.2224079489261
2023-04-27,490.470001,489.85247157729583,530.1567216391471,499.0051,486.3237,494.776533374632
2023-04-28,492.089996,490.1826819660124,530.1567216391471,496.37366,483.5665,493.14294841111086
2023-05-01,495.700012,490.412041734802,530.1567216391471,494.671,483.03796,492.4945840076382
2023-05-02,493.390015,490.5719425435442,530.1567216391471,493.88446,483.92496,492.5744410792446
2023-05-03,489.440002,490.75851851288775,530.1567216391471,493.66733,485.29303,492.9981861477669
2023-05-04,487.279999,491.039356791232,530.1567216391471,493.23843,485.63574,493.0508195215542
2023-05-05,494.279999,491.2133080789375,530.1567216391471,492.35468,484.82443,492.5568507026303
2023-05-08,492.619995,490.9922775609022,530.1567216391471,491.02142,483.1688,491.5366488866489
2023-05-09,490.380005,491.3633991636526,530.1567216391471,490.52808,483.50192,491.5910525403607
2023-05-10,490.070007,491.6382076590829,530.1567216391471,490.43137,484.1117,491.8338605590801
2023-05-11,488.76001,491.84753538784713,530.1567216391471,490.29617,484.27844,491.9033369001488
2023-05-12,491.230011,492.08678249972064,530.1567216391471,490.20135,484.30792,491.9499082630438
2023-05-15,486.859985,492.4226402856478,530.1567216391471,489.9351,483.875,491.8201391256523
2023-05-16,479.720001,492.6529197237917,530.1567216391471,489.66245,483.6649,491.7303692493964
2023-05-17,484.809998,492.48836532453504,530.1567216391471,489.30725,483.31946,491.4596404221362
2023-05-18,479.230011,492.9148566740819,530.1567216391471,488.33777,481.65796,490.7356585530202
2023-05-19,478.820007,493.24261154351024,530.1567216391471,487.70123,481.20966,490.4806297323729
2023-05-22,480.619995,493.50111655822417,530.1567216391471,487.21036,480.93787,490.3093814414374
2023-05-23,479.440002,493.7844334438222,530.1567216391471,486.5886,480.4113,490.0213626392992
2023-05-24,480.829987,494.1579594617619,530.1567216391471,485.8559,479.90488,489.7298467429746
2023-05-25,477.700012,494.41829314137095,530.1567216391471,484.6869,478.88907,489.1034146983624
2023-05-26,481.519989,494.2750843508727,530.1567216391471,483.22098,477.63272,488.1913737626104
2023-05-30,479.850006,494.7132700672014,530.1567216391471,481.83575,476.56885,487.5305778691159
2023-05-31,487.23999,495.0423087036232,530.1567216391471,481.17096,476.94998,487.5339514857952
2023-06-01,493.630005,495.29113804329694,530.1567216391471,480.77512,477.45328,487.6398221192424
2023-06-02,499.579987,495.553503937022,530.1567216391471,480.61288,478.34204,487.94806371896414
2023-06-05,498.190002,495.8947376355487,530.1567216391471,481.17422,480.4248,488.89355402447
2023-06-06,487.570007,496.11163225794746,530.1567216391471,482.92804,484.41315,490.7976939550909
2023-06-07,482.130005,495.9142969910153,530.1567216391471,484.93524,487.6778,492.43306467055487
2023-06-08,490.230011,496.2883901047218,530.1567216391471,486.4591,489.1415,493.49528361518094
2023-06-09,493.619995,496.5443435516033,530.1567216391471,487.21036,489.0606,493.78070096418014
2023-06-12,492.589996,496.7123042966913,530.1567216391471,487.93808,489.4551,494.1869227884612
2023-06-13,491.309998,496.8874398248678,530.1567216391471,488.72272,490.30106,494.7586594623922
2023-06-14,459.859985,497.1366861701485,530.1567216391471,489.66928,491.51254,495.5205397914021
2023-06-15,465.890015,497.2585896181177,530.1567216391471,490.6815,492.78397,496.28682742470426
2023-06-16,458.48999,496.9651214868511,530.1567216391471,490.01096,490.35846,495.2096142904872
2023-06-20,469.390015,497.2438680226467,530.1567216391471,488.90335,488.2098,494.243193920321
2023-06-21,476.75,497.40720924687577,530.1567216391471,486.9006,485.25137,492.6982701961781
2023-06-22,479.049988,497.487213058697,530.1567216391471,484.61856,483.0349,491.27976375746994
2023-06-23,477.0,497.5808932579853,530.1567216391471,482.46902,482.101,490.3202787410932
2023-06-26,479.059998,497.75691107753227,530.1567216391471,480.7969,482.27145,489.8916920422312
2023-06-27,482.559998,497.8153726137568,530.1567216391471,479.21545,482.24106,489.3942728259333
2023-06-28,474.450012,497.46960275903234,530.1567216391471,477.8743,482.33963,488.9012529802146
2023-06-29,476.440002,497.70829879635056,530.1567216391471,477.34036,483.46152,489.1594173332096
2023-06-30,480.640015,497.844678512157,530.1567216391471,476.91965,483.81042,489.1760160818552
2023-07-03,477.880005,497.9113500178047,530.1567216391471,476.8316,484.42776,489.3654667909009
2023-07-05,471.220001,498.0055526701759,530.1567216391471,477.41223,485.998,490.08260006440696
2023-07-06,469.359985,498.1958492256428,530.1567216391471,478.11664,487.246,490.7624708017064
2023-07-07,461.579987,498.2819219638227,530.1567216391471,478.3179,487.2228,490.8433654652577
2023-07-10,463.049988,497.9763535218286,530.1567216391471,477.7444,485.87592,490.1409585376288
2023-07-11,462.890015,498.2667955217804,530.1567216391471,476.308,483.3472,488.9506624770936
2023-07-12,451.700012,498.46513955361627,530.1567216391471,474.68222,481.34756,487.8444381801752
2023-07-13,447.75,498.6024171997206,530.1567216391471,473.295,480.30646,487.1056896587327
2023-07-14,480.170013,498.7740777892197,530.1567216391471,471.7248,478.76593,486.1574913427197
2023-07-17,484.079987,499.0467231317178,530.1567216391471,470.00238,476.98672,485.11233571104526
2023-07-18,500.0,499.2179509227021,530.1567216391471,469.5039,478.7025,485.5540337605198
2023-07-19,503.700012,498.9981863839307,530.1567216391471,470.04074,482.09814,486.7565974986457
2023-07-20,504.23999,499.3729039413055,530.1567216391471,472.1097,487.87225,489.3805335631396
2023-07-21,506.529999,499.651852152626,530.1567216391471,475.19727,494.07117,492.4389793934488
2023-07-24,508.679993,499.8640071880805,530.1567216391471,478.61014,499.42834,495.3113110172704
2023-07-25,510.929993,500.10290217052255,530.1567216391471,482.1411,503.7475,497.89460471317545
2023-07-26,508.0,500.4334102840408,530.1567216391471,485.8273,507.5282,500.3797882540637
2023-07-27,505.230011,500.65163207745553,530.1567216391471,489.5476,510.77475,502.672276803282
2023-07-28,502.910004,500.46676537025706,530.1567216391471,492.9362,513.09924,504.448773880796
2023-07-31,506.369995,500.86335854893593,530.1567216391471,495.54663,513.897,505.6492540446083
2023-08-01,504.73999,501.150559620506,530.1567216391471,497.76364,514.35376,506.5837703107656
2023-08-02,504.799988,501.357085672837,530.1567216391471,499.78226,515.0479,507.5087832247266
2023-08-03,504.859985,501.57655960617,530.1567216391471,501.3914,515.49866,508.2285590791819
2023-08-04,502.730011,501.87429182487614,530.1567216391471,502.1892,514.90424,508.3752292850543
2023-08-07,510.73999,502.0471573265455,530.1567216391471,502.5016,514.02216,508.2394376421429
2023-08-08,505.859985,501.8054468367863,530.1567216391471,502.37097,512.7197,507.7104594164683
2023-08-09,502.109985,502.1350932431948,530.1567216391471,502.808,513.1191,508.0710869207752
2023-08-10,503.480011,502.3468863737186,530.1567216391471,503.20306,513.1502,508.2666039548699
2023-08-11,508.01001,502.4714016427347,530.1567216391471,503.18488,512.2543,508.00739018945353
2023-08-14,510.929993,502.6042904753636,530.1567216391471,503.07886,511.45447,507.75346437207145
2023-08-15,506.690002,502.8130113900608,530.1567216391471,503.19437,511.3741,507.8231224958257
2023-08-16,503.559998,502.8966534808495,530.1567216391471,503.74246,512.03735,508.2348956219271
2023-08-17,493.959991,502.5677323305413,530.1567216391471,503.94705,511.70282,508.0998716570108
2023-08-18,498.440002,502.8143610332325,530.1567216391471,503.66132,510.48828,507.68713921371295
2023-08-21,497.679993,502.9494108000358,530.1567216391471,502.53723,507.75244,506.485991803135
2023-08-22,492.339996,503.00538806594255,530.1567216391471,501.33194,505.51025,505.3956551746584
2023-08-23,489.440002,503.079677331603,530.1567216391471,500.36313,503.94745,504.60458551627175
2023-08-24,488.100006,503.2412298367338,530.1567216391471,499.25186,502.13016,503.7107192222511
2023-08-25,489.119995,503.29035088438985,530.1567216391471,498.30942,500.82742,503.0047044698916
2023-08-28,491.279999,502.9404667578099,530.1567216391471,496.9374,498.884,501.8432420696191
2023-08-29,492.829987,503.18027462715537,530.1567216391471,495.7075,497.74393,501.15161707821176
2023-08-30,491.529999,503.3228904289187,530.1567216391471,494.9269,497.62994,500.9062231373971
2023-08-31,476.579987,503.4007219215794,530.1567216391471,494.8622,498.68823,501.2482256532526
2023-09-01,476.23999,503.51071620673497,530.1567216391471,495.08044,499.84442,501.7209821529891
2023-09-05,480.809998,503.72106163709736,530.1567216391471,494.5101,499.01245,501.3304978941178
2023-09-06,476.940002,503.8309965299308,530.1567216391471,493.44122,497.66068,500.5855027935881
2023-09-07,484.809998,503.5526050134442,530.1567216391471,492.05832,496.337,499.6402176782673
2023-09-08,480.769989,503.87300259308427,530.1567216391471,490.1668,494.49802,498.53535170962334
2023-09-11,479.380005,504.1035254368046,530.1567216391471,488.43723,493.6407,497.77288200727423
2023-09-12,479.899994,504.27464945312806,530.1567216391471,486.8848,493.03964,497.13267155235576
2023-09-13,479.839996,504.48128720676897,530.1567216391471,485.685,492.73297,496.7096336839255
2023-09-14,483.600006,504.7895412682698,530.1567216391471,484.61227,492.3924,496.34477032457806
2023-09-15,486.700012,504.9965650470894,530.1567216391471,483.6785,492.02588,495.9873675389746
2023-09-18,486.059998,504.8124100597781,530.1567216391471,483.36285,492.756,496.07002186033696
2023-09-19,480.660004,505.2222608748146,530.1567216391471,483.1038,493.27237,496.2689992811028
2023-09-20,492.130005,505.5356704547184,530.1567216391471,482.9645,493.6957,496.4490608830281
2023-09-21,501.140015,505.78152079195087,530.1567216391471,482.6377,493.32892,496.2959660329554
2023-09-22,506.100006,506.0533558386449,530.1567216391471,482.52847,493.57913,496.4181786035359
2023-09-25,510.279999,506.4161644417989,530.1567216391471,482.59348,494.17557,496.73299482239554
2023-09-26,505.450012,506.6662636315768,530.1567216391471,483.18512,495.44232,497.3997806616448
2023-09-27,503.730011,506.5131607131365,530.1567216391471,484.61688,497.56253,498.4957078892948
2023-09-28,510.100006,506.9417951150851,530.1567216391471,485.95096,498.42917,499.3205471169957
2023-09-29,504.190002,507.2617726455087,530.1567216391471,487.26544,498.6907,499.9137492052837
2023-10-02,514.570007,507.5023172011966,530.1567216391471,489.0922,499.7638,500.9091885226144
2023-10-03,509.470001,507.7575872918682,530.1567216391471,490.80212,500.14972,501.6502814368911
2023-10-04,510.619995,508.0934356535616,530.1567216391471,492.8134,501.2777,502.7490153126749
2023-10-05,516.22998,508.3072630445211,530.1567216391471,494.28555,501.25644,503.2715646829765
2023-10-06,524.809998,508.10984558046505,530.1567216391471,495.78693,501.5591,503.7920326683424
2023-10-09,526.51001,508.48753760275,530.1567216391471,497.4968,502.4964,504.7450725796558
2023-10-10,524.23999,508.75146387436047,530.1567216391471,500.006,505.1161,506.462562619172
2023-10-11,524.130005,508.9324273638842,530.1567216391471,503.0864,508.4371,508.5645745436922
2023-10-12,525.539978,509.1261812296668,530.1567216391471,506.2853,511.44104,510.6058743374974
2023-10-13,539.400024,509.400144528927,530.1567216391471,509.3503,513.90643,512.4536647884347
2023-10-16,538.030029,509.5532139609519,530.1567216391471,511.90225,515.46356,513.811487369345
2023-10-17,536.650024,509.2975521481266,530.1567216391471,514.4866,517.8387,515.3280248589763
2023-10-18,536.059998,509.6207554945936,530.1567216391471,517.30695,520.72644,517.2476671168056
2023-10-19,531.630005,509.8350163345584,530.1567216391471,520.01935,523.06036,518.9239441671833
2023-10-20,527.030029,509.9720063935498,530.1567216391471,522.0339,523.9412,519.8882089039253
2023-10-23,521.570007,510.1281307638826,530.1567216391471,523.15094,523.3303,520.0914934479287
2023-10-24,525.0,510.3712323191657,530.1567216391471,523.2555,521.28827,519.5357508619797
2023-10-25,530.210022,510.50039907846,530.1567216391471,522.6179,518.4063,518.4409667236279
2023-10-26,528.359985,510.2277550230932,530.1567216391471,522.11255,516.6077,517.6241072175075
2023-10-27,524.659973,510.5406372051256,530.1567216391471,521.64075,515.48596,517.2005818760491
2023-10-30,529.98999,510.7507734663715,530.1567216391471,520.9273,514.07385,516.5776393606003
2023-10-31,535.559998,510.88918721935454,530.1567216391471,519.92926,512.01843,515.6366863542526
2023-11-01,531.599976,511.05147775898746,530.1567216391471,519.68677,511.76132,515.5222681920133
2023-11-02,536.130005,511.3045551598338,530.1567216391471,520.3461,512.9357,516.1817280206459
2023-11-03,530.900024,511.4464812886672,530.1567216391471,521.5734,514.51514,517.1213720352907
2023-11-06,533.460022,511.1882963734109,530.1567216391471,523.7171,517.4405,518.673894892969
2023-11-07,537.830017,511.5162328562565,530.1567216391471,526.04517,520.02936,520.3417280582629
2023-11-08,536.72998,511.7409297225882,530.1567216391471,528.203,522.1412,521.7726723976762
2023-11-09,539.0,511.89237264701046,530.1567216391471,530.1932,524.2122,523.1164290783655
2023-11-10,541.210022,512.065207365046,530.1567216391471,531.791,525.7479,524.1687807909926
2023-11-13,542.570007,529.1745849504418,541.0668508155328,534.04755,528.26135,531.3611264029266
2023-11-14,540.460022,529.2942211801528,541.0761258309226,534.9072,528.51166,531.7501054350528
2023-11-15,538.409973,529.5271075936508,541.0755249704156,535.425,528.0723,531.8391615426779
2023-11-16,539.820007,529.8418389014537,541.0755638957794,535.6634,527.3459,531.7698176834318
2023-11-17,536.289978,529.9835523101862,541.0755613740894,535.69403,526.5236,531.554696260441
2023-11-20,535.099976,530.1379988655725,541.0755615374512,535.5797,525.6905,531.2934744369179
2023-11-21,539.590027,530.3030721854257,541.0755615268682,535.3693,524.88275,531.0127818922967
2023-11-22,543.76001,530.1123308392135,541.0755615275539,535.0979,524.115,530.6254289951337
2023-11-24,547.099976,530.2764134829611,541.0755615275094,534.7899,523.39215,530.3406828263935
2023-11-27,543.590027,530.5612711454102,541.0755615275123,534.4611,522.7149,530.09796387203
2023-11-28,540.530029,530.9341811456318,541.075561527512,534.1213,522.0816,529.890659279725
2023-11-29,534.97998,531.1388700465538,541.075561527512,533.7767,521.4901,529.647959943041
2023-11-30,552.969971,531.3596161871985,541.075561527512,533.43036,520.93774,529.4218247389942
2023-12-01,547.159973,531.5928100128918,541.075561527512,533.0844,520.42194,529.2110833286096
2023-12-04,548.280029,531.4705077394722,541.075561527512,532.7397,519.9402,528.9117038429853
2023-12-05,550.26001,531.7018767693903,541.075561527512,532.3967,519.4902,528.7225777545609
2023-12-06,549.530029,532.0514566107173,541.075561527512,532.0555,519.06964,528.5767582692208
2023-12-07,548.27002,532.4851991947443,541.075561527512,531.7159,518.6767,528.4640174924268
2023-12-08,549.77002,532.7456154851311,541.075561527512,531.3778,518.3096,528.3113153805289
2023-12-11,543.679993,533.0158984930091,541.075561527512,531.0414,517.9664,528.1696256935063
2023-12-12,545.719971,533.2915005799092,541.075561527512,530.70654,517.6458,528.0371995690501
2023-12-13,549.01001,533.2037003432193,541.075561527512,530.37335,517.3461,527.8098048949362
2023-12-14,534.23999,533.4610573592831,541.075561527512,530.0415,517.06604,527.6862580006083
2023-12-15,531.119995,533.8276784907374,541.075561527512,529.711,516.8044,527.5998094160958
2023-12-18,526.549988,534.2692597049584,541.075561527512,529.38196,516.55975,527.5403836176797
2023-12-19,524.039978,534.5282304381725,541.075561527512,529.05426,516.3313,527.4352299955318
2023-12-20,515.929993,534.7878708443089,541.075561527512,528.7281,516.1177,527.3355367822943
2023-12-21,519.880005,535.0438801089584,541.075561527512,528.40344,515.9181,527.2398076834492
2023-12-22,520.309998,534.9279314845519,541.075561527512,528.0804,515.7317,527.0442081878082
2023-12-26,520.030029,535.1491127341673,541.075561527512,527.7587,515.5573,526.9477384658196
2023-12-27,522.789978,535.4721761407711,541.075561527512,527.4388,515.3945,526.8842380582248
2023-12-28,524.900024,535.8635625034764,541.075561527512,527.1205,515.2424,526.8439128015451
2023-12-29,526.469971,536.0665266411403,541.075561527512,526.80396,515.1001,526.7542981099324
2024-01-02,539.340027,536.2652352260388,541.075561527512,526.4891,514.9672,526.6670482214765
2024-01-03,542.030029,536.456315597015,541.075561527512,526.1758,514.843,526.5809507382496
2024-01-04,545.419983,536.2723916511769,541.075561527512,525.8641,514.727,526.3925096672571
2024-01-05,537.380005,536.4235059081861,541.075561527512,525.5539,514.6186,526.301244316753
2024-01-08,536.52002,536.6753522656081,541.075561527512,525.2453,514.5172,526.2410799749706
2024-01-09,538.369995,536.9952841765788,541.075561527512,524.9383,514.42255,526.2027522453042
2024-01-10,537.640015,537.127426022696,541.075561527512,524.6329,514.33405,526.1140867510021
2024-01-11,539.679993,537.2567586970519,541.075561527512,524.32904,514.25134,526.0269860346925
2024-01-12,521.51001,537.38065817736,541.075561527512,524.0267,514.1741,525.9406025210512
2024-01-16,519.150024,537.1324232575854,541.075561527512,523.7258,514.10187,525.7516047035165
2024-01-17,524.940002,537.2226915426223,541.075561527512,523.42645,514.0344,525.6598589194348
2024-01-18,516.340027,537.4176681799959,541.075561527512,523.1286,513.9714,525.5994862750972
2024-01-19,503.559998,537.6851319656648,541.075561527512,522.8323,513.9125,525.5613193301879
2024-01-22,512.98999,537.7695464594418,541.075561527512,522.53754,513.85736,525.4733596462283
2024-01-23,515.52002,537.8561469517429,541.075561527512,522.2442,513.80597,525.3876748935174
2024-01-24,513.22998,537.9424818605656,541.075561527512,521.9524,513.7578,525.3034430186418
2024-01-25,493.399994,537.6619445066565,541.075561527512,521.66205,513.7129,525.1175201204057
2024-01-26,503.200012,537.7251941398988,541.075561527512,521.3733,513.6709,525.0297527394409
2024-01-29,504.540009,537.8983904565996,541.075561527512,521.0858,513.6317,524.9742147452209
2024-01-30,503.609985,538.1492060153793,541.075561527512,520.7999,513.59503,524.9418366315526
2024-01-31,511.73999,538.2219439697534,541.075561527512,520.51556,513.5607,524.8606135676325
2024-02-01,507.140015,538.3016317597558,541.075561527512,520.23254,513.5287,524.7825165031828
2024-02-02,510.230011,538.3855691653047,541.075561527512,519.95105,513.4988,524.7067787156768
