ds,yhat
2023-11-11,483.3270420165633
2023-11-12,483.32708009196455
2023-11-13,483.3270800288337
2023-11-14,483.3270800289383
2023-11-15,483.32708002893816
2023-11-16,483.32708002893816
2023-11-17,483.32708002893816
2023-11-18,483.32708002893816
2023-11-19,483.32708002893816
2023-11-20,483.32708002893816
2023-11-21,483.32708002893816
2023-11-22,483.32708002893816
2023-11-23,483.32708002893816
2023-11-24,483.32708002893816
2023-11-25,483.32708002893816
2023-11-26,483.32708002893816
2023-11-27,483.32708002893816
2023-11-28,483.32708002893816
2023-11-29,483.32708002893816
2023-11-30,483.32708002893816
2023-12-01,483.32708002893816
2023-12-02,483.32708002893816
2023-12-03,483.32708002893816
2023-12-04,483.32708002893816
2023-12-05,483.32708002893816
2023-12-06,483.32708002893816
2023-12-07,483.32708002893816
2023-12-08,483.32708002893816
2023-12-09,483.32708002893816
2023-12-10,483.32708002893816
2023-12-11,483.32708002893816
2023-12-12,483.32708002893816
2023-12-13,483.32708002893816
2023-12-14,483.32708002893816
2023-12-15,483.32708002893816
2023-12-16,483.32708002893816
2023-12-17,483.32708002893816
2023-12-18,483.32708002893816
2023-12-19,483.32708002893816
2023-12-20,483.32708002893816
2023-12-21,483.32708002893816
2023-12-22,483.32708002893816
2023-12-23,483.32708002893816
2023-12-24,483.32708002893816
2023-12-25,483.32708002893816
2023-12-26,483.32708002893816
2023-12-27,483.32708002893816
2023-12-28,483.32708002893816
2023-12-29,483.32708002893816
2023-12-30,483.32708002893816
2023-12-31,483.32708002893816
2024-01-01,483.32708002893816
2024-01-02,483.32708002893816
2024-01-03,483.32708002893816
2024-01-04,483.32708002893816
2024-01-05,483.32708002893816
