,TICKER,mse,mape,directional_accuracy
0,DOW,15.681952869607715,5.917929052308211,0.48847926267281105
1,APD,118.79351134001266,2.680679229034866,0.45622119815668205
2,CRH,23.501145523204478,7.2881174691268615,0.5069124423963134
3,NUE,27.53726808538476,2.5685739756062813,0.4976958525345622
4,ECL,13.626550965009063,1.769757598187751,0.4423963133640553
5,LIN,78.92829645848465,2.0366454873000173,0.511520737327189
6,FCX,3.8792861726945223,4.332344946989684,0.5345622119815668
7,SCCO,10.760833340309423,3.641488309419052,0.5161290322580645
8,CTVA,76.03417624178645,12.092133933926513,0.5161290322580645
9,SHW,27.105970014869822,1.716245409686021,0.5023041474654378
10,GOOG,58.18750502990506,5.547872841776943,0.4838709677419355
11,DIS,226.03909852929263,14.355710980059175,0.5161290322580645
12,CMCSA,18.1270191513648,9.185589908717507,0.423963133640553
13,CHTR,198.09984151971324,2.851497562226339,0.45161290322580644
14,META,76.09614130406027,3.0712629745290836,0.5069124423963134
15,NFLX,174.67381835947526,2.726648139531295,0.5161290322580645
16,T,1.8120412198171143,6.815126639387089,0.48847926267281105
17,TMUS,16.95417671013568,2.327317896393158,0.4838709677419355
18,ABNB,179.4497170268683,8.569235673580835,0.5483870967741935
19,VZ,4.768640086730818,4.980630826697179,0.4608294930875576
20,HD,53.20614317826902,1.7623543005866031,0.4930875576036866
21,AMZN,32.753173643788436,4.201059596406349,0.45622119815668205
22,MCD,177.11467293029142,4.2268084938809265,0.47465437788018433
23,BKNG,4727.4050856610065,1.9239737966077672,0.5023041474654378
24,LOW,24.686544585390443,1.9018193176523595,0.511520737327189
25,TSLA,121.38695080549533,4.181434355559864,0.543778801843318
26,NKE,14.711075376789664,2.816899763480219,0.543778801843318
27,TJX,53.173312107520125,7.990100689411163,0.4930875576036866
28,CL,10.855654968080504,3.7585689151402724,0.4976958525345622
29,COST,85.54352376897583,1.3949216903715143,0.5391705069124424
30,SBUX,5.353627788973476,1.7004433101755927,0.5345622119815668
31,KO,5.059082498698598,3.150968754359176,0.48847926267281105
32,MNST,8.873267680385524,4.764144708400712,0.4700460829493088
33,MO,1.4011045377655895,2.226690714146133,0.5161290322580645
34,MDLZ,12.948145877265617,3.9296720458769983,0.5161290322580645
35,PEP,92.87990314140391,4.450859211820828,0.511520737327189
36,WMT,36.061438371350356,3.2546537573726297,0.5253456221198156
37,PG,22.70786536258582,2.5628136603232377,0.4470046082949309
38,PM,45.416771567940096,6.285081042467103,0.47465437788018433
39,COP,11.539019194957083,2.4573379426234676,0.43317972350230416
40,CVX,24.676610492587336,2.522710039361441,0.4930875576036866
41,EOG,21.41320165297943,3.0772211030751198,0.45161290322580644
42,EPD,12.569855542711643,11.287010022442958,0.4423963133640553
43,MPC,990.3247058235486,21.727851230754673,0.5023041474654378
44,OXY,4.5619051515698255,2.7909775385826188,0.4700460829493088
45,PSX,54.04085713982866,5.690225023527773,0.5253456221198156
46,SLB,7.507765729340455,4.267547320348669,0.5299539170506913
47,PXD,45.65198008233526,2.450624403420111,0.4792626728110599
48,XOM,7.526335905414018,2.000006163618889,0.48847926267281105
49,BX,54.44448660510779,6.4145471992813095,0.5023041474654378
50,BRK-B,33.98317584591726,1.4163739460343052,0.5391705069124424
51,BAC,1.3341449642348604,2.9832959957204603,0.543778801843318
52,GS,62.31035352055729,1.912059271474613,0.5161290322580645
53,JPM,14.82298111493535,2.202974918025394,0.4976958525345622
54,MS,26.88496582027076,4.49166830491832,0.5069124423963134
55,MA,40.63678938916621,1.3212469231521398,0.4608294930875576
56,SPGI,82.76237125635602,1.933896361847712,0.5622119815668203
57,WFC,21.880972909252037,8.893506797269938,0.4930875576036866
58,V,19.351348359706233,1.5720144313282527,0.48847926267281105
59,ABBV,110.99659214237408,6.089843559885453,0.4976958525345622
60,DHR,24.335997488945413,1.672222825373632,0.4792626728110599
61,ABT,64.90682050418245,6.378677752731186,0.5161290322580645
62,LLY,283.307095768566,2.824019281251034,0.5023041474654378
63,AMGN,28.920684134700597,1.6315534316773663,0.5299539170506913
64,JNJ,21.20709838325264,2.1501736076523335,0.48847926267281105
65,MRK,12.261020465993257,2.5375165017211114,0.4976958525345622
66,PFE,33.85439168465778,12.80003860257492,0.43317972350230416
67,TMO,129.7735625460179,1.6052870090796096,0.511520737327189
68,UNH,102.29318141278445,1.521219694506812,0.4700460829493088
69,BA,40.82100673829225,2.5359226794595053,0.4792626728110599
70,ADP,31.352136401900697,1.8424678203693403,0.48847926267281105
71,CAT,49.55139851098671,2.2779677430375225,0.5023041474654378
72,GE,7.671678902638721,2.2781351419869433,0.4608294930875576
73,HON,19.157464364440305,1.8650885300297508,0.45622119815668205
74,UNP,28.16135719671371,2.1442064130143397,0.4700460829493088
75,LMT,101.28427721516182,1.8044131539910535,0.47465437788018433
76,RTX,28.309583375881033,5.441649799044508,0.5023041474654378
77,UPS,267.06342575572575,8.11080103085593,0.4700460829493088
78,DE,111.59729283946227,2.1385444050869213,0.47465437788018433
79,AMT,26.243183311499873,2.085325608083775,0.543778801843318
80,CCI,17.32647108625122,3.2038557899953224,0.4930875576036866
81,CSGP,37.05863186721699,5.85334958412846,0.5069124423963134
82,DLR,29.18703412450949,3.9875310473925203,0.47465437788018433
83,EQIX,277.4920164677464,1.7896439306487832,0.45622119815668205
84,WELL,2.7752299598396126,1.7056581824024024,0.5023041474654378
85,O,5.46635052448531,3.1899350216459794,0.5253456221198156
86,PSA,51.71627038260056,2.0458595910412196,0.4838709677419355
87,AAPL,18.178534699341927,2.0996702278996344,0.5069124423963134
88,PLD,41.99498690976769,4.415146876318892,0.4930875576036866
89,ADBE,254.98160404112522,3.088553144713183,0.5622119815668203
90,ACN,71.52076339411435,2.432209100458432,0.5345622119815668
91,AVGO,516.6029548334111,2.2223809294117043,0.5023041474654378
92,AMD,44.34393569395204,5.292208385977686,0.5345622119815668
93,CRM,27.044925515479616,2.070869244288363,0.4976958525345622
94,MSFT,72.64401378640045,2.2534261189689357,0.48847926267281105
95,NVDA,436.2144597799997,4.2020732001003305,0.5345622119815668
96,CSCO,7.62763327440545,4.432066203542043,0.5207373271889401
97,AEP,91.6924089542023,9.080776701828881,0.46543778801843316
98,ORCL,288.6455972550724,12.926377461077779,0.5023041474654378
99,D,64.7802154832418,14.647859279266765,0.5483870967741935
100,CEG,114.20220317233478,8.852354841612662,0.4423963133640553
101,EXC,2.56256866382647,3.160724393572379,0.48847926267281105
102,DUK,4.684702739120311,1.8619825891797221,0.5161290322580645
103,PCG,0.9835104118968645,4.46017442046078,0.5529953917050692
104,NEE,72.04940595744569,10.519400875253217,0.48847926267281105
105,SO,7.801926719341964,3.488117924801184,0.5023041474654378
106,XEL,5.958392825509976,3.042083358795266,0.5023041474654378
107,SRE,2.988726935543687,1.967912235452444,0.511520737327189
