TICKER,weight_arima,weight_gru,weight_lstm,weight_prophet
APD,0.14505769963962328,0.29651266815621957,0.3307096739845313,0.22771995821962573
CRH,0.10290788952838964,0.2244366866710355,0.5329703246282949,0.13968509917228003
FCX,0.13299150731563572,0.34854301651075337,0.35861284924153586,0.159852626932075
DOW,0.18455495564530933,0.295454474368401,0.369185402662308,0.15080516732398172
ECL,0.1300208447879506,0.5136725714162337,0.26535889096929327,0.09094769282652244
CTVA,0.2162778016638854,0.2763701427414922,0.3134194800595151,0.19393257553510737
NUE,0.058471639586446,0.4530523123935747,0.38940988694333134,0.09906616107664791
LIN,0.12183720440288937,0.33409022533644583,0.40639032413019194,0.13768224613047292
SCCO,0.13558516264880419,0.4316501224679904,0.27399925450539886,0.1587654603778066
SHW,0.15636768841695042,0.41992066273783285,0.3309380692449934,0.09277357960022332
CHTR,0.09413519011001491,0.43069583153858454,0.3335469005946492,0.14162207775675134
CMCSA,0.14669748362049725,0.2834074152719733,0.4078492747426194,0.1620458263649102
DIS,0.3224260888763339,0.23283113937846445,0.3079233130808838,0.13681945866431783
GOOG,0.17159326847709064,0.32319788933306115,0.3387887877148778,0.1664200544749703
META,0.043868228378734345,0.44037459989286043,0.39313910353011194,0.12261806819829328
NFLX,0.12705284649011625,0.412983815864971,0.3199208035372595,0.1400425341076533
T,0.17437597708588073,0.49508438432469504,0.1909249955494709,0.13961464303995333
TMUS,0.20481809416976704,0.3074093404117158,0.3818766015272142,0.10589596389130299
VZ,0.21566325574041334,0.4492114062735014,0.22438644401370836,0.11073889397237678
ABNB,0.06070904489769047,0.409680965028217,0.32071458509031886,0.20889540498377357
AMZN,0.0582699968272228,0.33801059252008714,0.504283597766525,0.09943581288616517
HD,0.14380688529915853,0.3702460145518563,0.38832635034185625,0.09762074980712893
BKNG,0.09363604297099143,0.4382617994573453,0.36740925047330736,0.10069290709835586
LOW,0.15859116600122306,0.3686576374741481,0.3070024145307514,0.16574878199387744
MCD,0.21866084451944942,0.24908624487306585,0.384282823256906,0.1479700873505787
NKE,0.1495263769703104,0.40430020804283673,0.3524628491617071,0.09371056582514581
TJX,0.2002535071296236,0.14978771416676517,0.5414417967406865,0.10851698196292477
SBUX,0.18565882546563878,0.47842920817961726,0.22011935755491632,0.11579260879982765
TSLA,0.03975913036289301,0.46135344271837336,0.3669020249109375,0.1319854020077962
CL,0.2155699680820143,0.29736311222179446,0.31774618018168027,0.169320739514511
KO,0.16582066833444895,0.28324915369026704,0.36390292193639584,0.18702725603888803
COST,0.09418123978840506,0.388156131918924,0.3693122515420836,0.1483503767505874
MDLZ,0.14995741409164004,0.3168194073104405,0.2812472069673136,0.25197597163060587
MNST,0.2033937119891441,0.3029627774391314,0.34422252942928916,0.14942098114243538
MO,0.16374504742055462,0.3973776337871304,0.39928826808146645,0.0395890507108484
PEP,0.28321261225130046,0.2760293002940179,0.24622209535178763,0.1945359921028941
PG,0.20751778620025962,0.26269700118757905,0.3930535533405064,0.13673165927165504
WMT,0.14374815542657451,0.2301785738357741,0.49198883959309264,0.13408443114455867
PM,0.2158165698121845,0.21314628913316225,0.4116183520990669,0.15941878895558645
COP,0.09460760638120667,0.42100526637712393,0.39300941824714214,0.09137770899452718
CVX,0.13072242881306526,0.37623293322695933,0.3870435473107001,0.10600109064927533
EOG,0.11511097750027165,0.38003904201777344,0.38992350258537833,0.11492647789657669
EPD,0.09874601491714796,0.06962312515204994,0.767133623909124,0.06449723602167794
OXY,0.2525228883313364,0.3614226221250843,0.3272125711090467,0.058841918434532466
MPC,0.20836066026140126,0.1447209181574805,0.440597472768963,0.20632094881215526
PSX,0.16932314310913468,0.317971170588236,0.19641640725108916,0.3162892790515403
PXD,0.12080218335313112,0.42644712675747,0.3024586310788089,0.15029205881059
SLB,0.14405035178252673,0.44011412738235833,0.3147591768592081,0.10107634397590691
XOM,0.22706726215916193,0.4212533705595562,0.27627804686801655,0.07540132041326532
BAC,0.05824630264319643,0.5471520310343134,0.3358236519083876,0.058778014414102665
BRK-B,0.12032567454402768,0.36438013788708656,0.40649424352371605,0.10879994404516975
GS,0.122921830936909,0.4303561307912801,0.31475530276256675,0.13196673550924404
BX,0.16683818291224348,0.3425396068613015,0.33974388052037874,0.15087832970607626
JPM,0.17172706858028186,0.3987668467434105,0.2764137702533887,0.15309231442291896
MA,0.12158086074346362,0.40806130112272027,0.29898834006959013,0.17136949806422594
MS,0.1681917589635854,0.3179990681066408,0.33011780744068253,0.18369136548909124
V,0.12509763484477082,0.4229065416732382,0.28650241316708963,0.16549341031490145
SPGI,0.14829467124073892,0.40886565432619304,0.30852530419962937,0.13431437023343873
ABBV,0.1981483194715762,0.30888750853043967,0.30454688617536824,0.18841728582261583
WFC,0.22766102305166072,0.14689091850272437,0.48045312171448123,0.1449949367311337
ABT,0.25450937877383156,0.29013136036157094,0.3066980566538882,0.14866120421070925
DHR,0.1245826091138449,0.42534355316859873,0.3433571311957602,0.10671670652179631
AMGN,0.11525888444997212,0.4284382032320855,0.31765483268710293,0.13864807963083944
LLY,0.13658794715327993,0.37888984367305184,0.3780686604278956,0.10645354874577267
JNJ,0.120546856670233,0.39712157627622524,0.3599215065913123,0.12241006046222927
MRK,0.21073161873529672,0.316128022013762,0.3919118954388594,0.08122846381208194
PFE,0.04088283340123624,0.21190492859644586,0.6007804823204312,0.14643175568188674
UNH,0.10410681734929567,0.3667844611070445,0.2947022117839663,0.2344065097596936
TMO,0.14226780072295195,0.42057255132491517,0.3103978725883808,0.126761775363752
