Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.827141,0.808554,0.817847,0.412000,1158040
1980-03-18,0.000000,0.830239,0.814749,0.827141,0.416682,1622063
1980-03-19,0.000000,0.842631,0.827141,0.842631,0.424485,1367859
1980-03-20,0.000000,0.861218,0.839533,0.839533,0.422924,3046412
1980-03-21,0.000000,0.848826,0.836435,0.836435,0.421364,1020851
1980-03-24,0.000000,0.842631,0.830239,0.830239,0.418243,778752
1980-03-25,0.000000,0.842631,0.827141,0.830239,0.418243,944186
1980-03-26,0.000000,0.842631,0.827141,0.842631,0.424485,2332220
1980-03-27,0.000000,0.830239,0.811652,0.811652,0.408879,770682
1980-03-28,0.000000,0.842631,0.830239,0.836435,0.421364,459988
1980-03-31,0.000000,0.851924,0.836435,0.845729,0.426046,250169
1980-04-01,0.000000,0.861218,0.845729,0.858120,0.432288,201749
1980-04-02,0.000000,0.904589,0.858120,0.898393,0.452576,758577
1980-04-03,0.000000,0.926274,0.901491,0.916980,0.461939,1480839
1980-04-07,0.000000,0.916980,0.901491,0.901491,0.454137,464023
1980-04-08,0.000000,0.895295,0.886001,0.886001,0.446333,1355754
1980-04-09,0.000000,0.886001,0.886001,0.886001,0.446333,347009
1980-04-10,0.000000,0.904589,0.892197,0.895295,0.451015,314729
1980-04-11,0.000000,0.916980,0.901491,0.904589,0.455697,710157
1980-04-14,0.000000,0.898393,0.892197,0.892197,0.449455,205784
1980-04-15,0.000000,0.904589,0.895295,0.898393,0.452576,197714
1980-04-16,0.000000,0.916980,0.904589,0.904589,0.455697,2134506
1980-04-17,0.000000,0.898393,0.892197,0.898393,0.452576,1371894
1980-04-18,0.000000,0.907687,0.898393,0.898393,0.452576,391393
1980-04-21,0.000000,0.904589,0.898393,0.898393,0.452576,379288
1980-04-22,0.000000,0.929372,0.904589,0.904589,0.455697,1125760
1980-04-23,0.000000,0.920078,0.904589,0.910785,0.458819,625422
1980-04-24,0.000000,0.916980,0.907687,0.916980,0.461939,246134
1980-04-25,0.000000,0.920078,0.913882,0.913882,0.460379,121049
